category,year,name,publication
Criticism,2015,None,None
Criticism,2014,Inga Saffron,The Philadelphia Inquirer
Criticism,2013,Philip Kennicott,The Washington Post
Criticism,2012,Wesley Morris,The Boston Globe
Criticism,2011,Sebastian Smee,The Boston Globe
Criticism,2010,Sarah Kaufman,The Washington Post
Criticism,2009,Holland Cotter,The New York Times
Criticism,2008,Mark Feeney,The Boston Globe
Criticism,2007,Jonathan Gold,LA Weekly
Criticism,2006,Robin Givhan,The Washington Post
Criticism,2005,Joe Morgenstern,The Wall Street Journal
Criticism,2004,Dan Neil,Los Angeles Times
Criticism,2003,Stephen Hunter,The Washington Post
Criticism,2002,Justin Davidson,Newsday
Criticism,2001,Gail Caldwell,The Boston Globe
Criticism,2000,Henry Allen,The Washington Post
Criticism,1999,Blair Kamin,Chicago Tribune
Criticism,1998,Michiko Kakutani,The New York Times
Criticism,1997,Tim Page,The Washington Post
Criticism,1996,Robert Campbell,The Boston Globe
Criticism,1995,Margo Jefferson,The New York Times
Criticism,1994,Lloyd Schwartz,The Boston Phoenix
Criticism,1993,Michael Dirda,The Washington Post
Criticism,1992,None,None
Criticism,1991,David Shaw,Los Angeles Times
Criticism,1990,Allan Temko,San Francisco Chronicle
Criticism,1989,Michael Skube,News and Observer
Criticism,1988,Tom Shales,The Washington Post
Criticism,1987,Richard Eder,Los Angeles Times
Criticism,1986,Donal Henahan,The New York Times
Criticism,1985,Howard Rosenberg,Los Angeles Times
Criticism,1984,Paul Goldberger,The New York Times
Criticism,1983,Manuela Hoelterhoff,The Wall Street Journal
Criticism,1982,Martin Bernheimer,Los Angeles Times
Criticism,1981,Jonathan Yardley,The Washington Star
Criticism,1980,William A. Henry III,The Boston Globe
Criticism,1979,Paul Gapp,Chicago Tribune
Criticism,1978,Walter Kerr,The New York Times
Criticism,1977,William McPherson,The Washington Post
Criticism,1976,Alan M. Kriegsman,The Washington Post
Criticism,1975,Roger Ebert,Chicago Sun-Times
Criticism,1974,Emily Genauer,Newsday Syndicate
Criticism,1973,Ronald Powers,Chicago Sun-Times
Criticism,1972,Frank Peters Jr.,St. Louis Post-Dispatch
Criticism,1971,Harold C. Schonberg,The New York Times
Criticism,1970,Ada Louise Huxtable,The New York Times
Editorial-Cartooning,2015,Adam Zyglis,The Buffalo News
Editorial-Cartooning,2014,Kevin Siers,The Charlotte Observer
Editorial-Cartooning,2013,Steve Sack,Star Tribune
Editorial-Cartooning,2012,Matt Wuerker,POLITICO
Editorial-Cartooning,2011,Mike Keefe,The Denver Post
Editorial-Cartooning,2010,None,None
Editorial-Cartooning,2009,Steve Breen,The San Diego Union-Tribune
Editorial-Cartooning,2008,Michael Ramirez,Investor's Business Daily
Editorial-Cartooning,2007,Walt Handelsman,Newsday
Editorial-Cartooning,2006,Mike Luckovich,The Atlanta Journal-Constitution
Editorial-Cartooning,2005,Nick Anderson,The Courier-Journal
Editorial-Cartooning,2004,Matt Davies,The Journal News
Editorial-Cartooning,2003,David Horsey,The Seattle Post-Intelligencer
Editorial-Cartooning,2002,Clay Bennett,The Christian Science Monitor
Editorial-Cartooning,2001,Ann Telnaes,Tribune Media Services
Editorial-Cartooning,2000,Joel Pett,Lexington (KY) Herald-Leader
Editorial-Cartooning,1999,David Horsey,The Seattle Post-Intelligencer
Editorial-Cartooning,1998,Stephen P. Breen,Asbury Park Press
Editorial-Cartooning,1997,Walt Handelsman,Times-Picayune
Editorial-Cartooning,1996,Jim Morin,The Miami Herald
Editorial-Cartooning,1995,Mike Luckovich,The Atlanta Constitution
Editorial-Cartooning,1994,Michael P. Ramirez,Commercial Appeal
Editorial-Cartooning,1993,Stephen R. Benson,The Arizona Republic
Editorial-Cartooning,1992,Signe Wilkinson,The Philadelphia Daily News
Editorial-Cartooning,1991,Jim Borgman,The Cincinnati Enquirer
Editorial-Cartooning,1990,Tom Toles,The Buffalo News
Editorial-Cartooning,1989,Jack Higgins,Chicago Sun-Times
Editorial-Cartooning,1988,Doug Marlette,The Atlanta Constitution and Charlotte Observer
Editorial-Cartooning,1987,Berke Breathed,The Washington Post Writers Group
Editorial-Cartooning,1986,Jules Feiffer,The Village Voice
Editorial-Cartooning,1985,Jeff MacNelly,Chicago Tribune
Editorial-Cartooning,1984,Paul Conrad,Los Angeles Times
Editorial-Cartooning,1983,Richard Locher,Chicago Tribune
Editorial-Cartooning,1982,Ben Sargent,Austin (TX) American-Statesman
Editorial-Cartooning,1981,Mike Peters,Dayton (OH) Daily News
Editorial-Cartooning,1980,Don Wright,The Miami News
Editorial-Cartooning,1979,Herbert L. Block,The Washington Post
Editorial-Cartooning,1978,Jeffrey K. MacNelly,Richmond (VA) News Leader
Editorial-Cartooning,1977,Paul Szep,The Boston Globe
Editorial-Cartooning,1976,Tony Auth,The Philadelphia Inquirer
Editorial-Cartooning,1975,Garry Trudeau,Universal Press Syndicate
Editorial-Cartooning,1974,Paul Szep,The Boston Globe
Editorial-Cartooning,1973,None,None
Editorial-Cartooning,1972,Jeffrey K. MacNelly,Richmond News-Leader
Editorial-Cartooning,1971,Paul Conrad,Los Angeles Times
Editorial-Cartooning,1970,Thomas F. Darcy,Newsday
Editorial-Cartooning,1969,John Fischetti,Chicago Daily News
Editorial-Cartooning,1968,Eugene Gray Payne,The Charlotte Observer
Editorial-Cartooning,1967,Patrick B. Oliphant,The Denver Post
Editorial-Cartooning,1966,Don Wright,The Miami News
Editorial-Cartooning,1965,None,None
Editorial-Cartooning,1964,Paul Conrad,The Denver Post
Editorial-Cartooning,1963,Frank Miller,Des Moines Register
Editorial-Cartooning,1962,Edmund S. Valtman,The Hartford Times
Editorial-Cartooning,1961,Carey Orr,Chicago Tribune
Editorial-Cartooning,1960,None,None
Editorial-Cartooning,1959,William H. (Bill) Mauldin,St. Louis Post-Dispatch
Editorial-Cartooning,1958,Bruce M. Shanks,Buffalo (NY) Evening News
Editorial-Cartooning,1957,Tom Little,The Nashville Tennessean
Editorial-Cartooning,1956,Robert York,Louisville (KY) Times
Editorial-Cartooning,1955,Daniel R. Fitzpatrick,St. Louis Post-Dispatch
Editorial-Cartooning,1954,Herbert L. Block (Herblock),The Washington Post & Times-Herald
Editorial-Cartooning,1953,Edward D. Kuekes,Cleveland Plain Dealer
Editorial-Cartooning,1952,Fred L. Packer,New York Mirror
Editorial-Cartooning,1951,Reg (Reginald W.) Manning,Arizona Republic
Editorial-Cartooning,1950,James T. Berryman,The Evening Star
Editorial-Cartooning,1949,Lute Pease,Newark Evening News
Editorial-Cartooning,1948,Reuben L. Goldberg,New York Sun
Editorial-Cartooning,1947,Vaughn Shoemaker,Chicago Daily News
Editorial-Cartooning,1946,Bruce Alexander Russell,Los Angeles Times
Editorial-Cartooning,1945,Sergeant Bill Mauldin,"United Feature Syndicate, Inc."
Editorial-Cartooning,1944,Clifford K. Berryman,The Evening Star
Editorial-Cartooning,1943,Jay Norwood Darling,Des Moines Register & Tribune
Editorial-Cartooning,1942,Herbert Lawrence Block,NEA service
Editorial-Cartooning,1941,Jacob Burck,Chicago Times
Editorial-Cartooning,1940,Edmund Duffy,The Baltimore Sun
Editorial-Cartooning,1939,Charles G. Werner,Daily Oklahoman
Editorial-Cartooning,1938,Vaughn Shoemaker,Chicago Daily News
Editorial-Cartooning,1937,C.D. Batchelor,New York Daily News
Editorial-Cartooning,1936,None,None
Editorial-Cartooning,1935,Ross A. Lewis,The Milwaukee Journal
Editorial-Cartooning,1934,Edmund Duffy,The Baltimore Sun
Editorial-Cartooning,1933,H. M. Talburt,Washington Daily News
Editorial-Cartooning,1932,John T. McCutcheon,Chicago Tribune
Editorial-Cartooning,1931,Edmund Duffy,The Baltimore Sun
Editorial-Cartooning,1930,Charles R. Macauley,Brooklyn Daily Eagle
Editorial-Cartooning,1929,Rollin Kirby,New York World
Editorial-Cartooning,1928,Nelson Harding,Brooklyn Daily Eagle
Editorial-Cartooning,1927,Nelson Harding,Brooklyn Daily Eagle
Editorial-Cartooning,1926,D. R. Fitzpatrick,St. Louis Post-Dispatch
Editorial-Cartooning,1925,Rollin Kirby,New York World
Editorial-Cartooning,1924,Jay Norwood Darling,Des Moines Register & Tribune
Editorial-Cartooning,1923,None,None
Editorial-Cartooning,1922,Rollin Kirby,New York World
Editorial-Writing,2015,Kathleen Kingsbury,The Boston Globe
Editorial-Writing,2014,Editorial Staff,The Oregonian
Editorial-Writing,2013,Tim Nickens and Daniel Ruth,Tampa Bay Times
Editorial-Writing,2012,No award,None
Editorial-Writing,2011,Joseph Rago,The Wall Street Journal
Editorial-Writing,2010,"Tod Robberson, Colleen McCain Nelson and William McKenzie",The Dallas Morning News
Editorial-Writing,2009,Mark Mahoney,The Post-Star
Editorial-Writing,2008,No award,None
Editorial-Writing,2007,"Arthur Browne, Beverly Weintraub and Heidi Evans",New York Daily News
Editorial-Writing,2006,Rick Attig and Doug Bates,The Oregonian
Editorial-Writing,2005,Tom Philp,The Sacramento Bee
Editorial-Writing,2004,William R. Stall,Los Angeles Times
Editorial-Writing,2003,Cornelia Grumman,Chicago Tribune
Editorial-Writing,2002,Alex Raksin and Bob Sipchen,Los Angeles Times
Editorial-Writing,2001,David Moats,Rutland (VT) Herald
Editorial-Writing,2000,John C. Bersia,The Orlando Sentinel
Editorial-Writing,1999,Editorial Board,Daily News
Editorial-Writing,1998,Bernard L. Stein,The Riverdale (NY) Press
Editorial-Writing,1997,Michael Gartner,The Daily Tribune
Editorial-Writing,1996,Robert B. Semple,The New York Times
Editorial-Writing,1995,Jeffrey Good,The St. Petersburg (FL) Times
Editorial-Writing,1994,R. Bruce Dold,Chicago Tribune
Editorial-Writing,1993,None,None
Editorial-Writing,1992,Maria Henson,Lexington (KY) Herald-Leader
Editorial-Writing,1991,"Ron Casey, Harold Jackson and Joey Kennedy",The Birmingham (AL) News
Editorial-Writing,1990,Thomas J. Hylton,The Pottstown (PA) Mercury
Editorial-Writing,1989,Lois Wille,Chicago Tribune
Editorial-Writing,1988,Jane Healy,Orlando Sentinel
Editorial-Writing,1987,Jonathan Freedman,The Tribune
Editorial-Writing,1986,Jack Fuller,Chicago Tribune
Editorial-Writing,1985,Richard Aregood,The Philadelphia Daily News
Editorial-Writing,1984,Albert Scardino,Georgia Gazette
Editorial-Writing,1983,Miami Herald Editorial Board,The Miami Herald
Editorial-Writing,1982,Jack Rosenthal,The New York Times
Editorial-Writing,1981,None,None
Editorial-Writing,1980,Robert L. Bartley,The Wall Street Journal
Editorial-Writing,1979,Edwin M. Yoder Jr.,The Washington Star
Editorial-Writing,1978,None,None
Editorial-Writing,1977,"Warren L. Lerude, Foster Church and Norman F. Cardoza",Reno (Nev.) Evening Gazette and Nevada State Journal
Editorial-Writing,1976,Philip P. Kerby,Los Angeles Times
Editorial-Writing,1975,John Daniell Maurice,Charleston (WV) Daily Mail
Editorial-Writing,1974,None,None
Editorial-Writing,1973,Roger B. Linscott,Berkshire Eagle
Editorial-Writing,1972,John Strohmeyer,Bethlehem (PA) Globe-Times
Editorial-Writing,1971,Horance G. Davis Jr.,The Gainesville (FL) Sun
Editorial-Writing,1970,Philip L. Geyelin,The Washington Post
Editorial-Writing,1969,Paul Greenberg,Pine Bluff (AR) Commercial
Editorial-Writing,1968,John S. Knight,Knight Newspapers
Editorial-Writing,1967,Eugene Patterson,The Atlanta Constitution
Editorial-Writing,1966,Robert Lasch,St. Louis Post-Dispatch
Editorial-Writing,1965,John R. Harrison,Gainesville (FL) Sun
Editorial-Writing,1964,Hazel Brannon Smith,Lexington (MS) Advertiser
Editorial-Writing,1963,Ira B. Harkey,Pascagoula (MS) Chronicle
Editorial-Writing,1962,Thomas M. Storke,Santa Barbara (CA) News-Press
Editorial-Writing,1961,William J. Dorvillier,San Juan (Puerto Rico) Star
Editorial-Writing,1960,Lenoir Chambers,Norfolk Virginian-Pilot
Editorial-Writing,1959,Ralph McGill,The Atlanta (GA) Constitution
Editorial-Writing,1958,Harry S. Ashmore,Arkansas Gazette
Editorial-Writing,1957,Buford Boone,Tuscaloosa (AL) News
Editorial-Writing,1956,Lauren K. Soth,Register and Tribune
Editorial-Writing,1955,Royce Howes,Detroit Free Press
Editorial-Writing,1954,Don Murray,Boston Herald
Editorial-Writing,1953,Vermont Connecticut Royster,The Wall Street Journal
Editorial-Writing,1952,Louis LaCoss,St. Louis Globe Democrat
Editorial-Writing,1951,William Harry Fitzpatrick,New Orleans States
Editorial-Writing,1950,Carl M. Saunders,Jackson (MI) Citizen Patriot
Editorial-Writing,1949,Herbert Elliston,The Washington Post
Editorial-Writing,1949,John H. Crider,The Boston Herald
Editorial-Writing,1948,Virginius Dabney,Richmond Times-Dispatch
Editorial-Writing,1947,William H. Grimes,The Wall Street Journal
Editorial-Writing,1946,Hodding Carter,The Delta Democrat-Times
Editorial-Writing,1945,George W. Potter,The Providence Journal-Bulletin
Editorial-Writing,1944,Henry J. Haskell,Kansas City (MO) Star
Editorial-Writing,1943,Forrest W. Seymour,Register and Tribune
Editorial-Writing,1942,Geoffrey Parsons,New York Herald Tribune
Editorial-Writing,1941,Reuben Maury,New York Daily News
Editorial-Writing,1940,Bart Howard,St. Louis Post-Dispatch
Editorial-Writing,1939,Ronald G. Callvert,The Oregonian
Editorial-Writing,1938,William Wesley Waymack,Register and Tribune
Editorial-Writing,1937,John W. Owens,The Baltimore Sun
Editorial-Writing,1936,Felix Morley and George B. Parker,Washington Post and Scripps-Howard Newspapers
Editorial-Writing,1935,None,None
Editorial-Writing,1934,E. P. Chase,Atlantic (IA) News-Telegraph
Editorial-Writing,1933,No author named,Kansas City (MO) Star
Editorial-Writing,1932,None,None
Editorial-Writing,1931,Charles S. Ryckman,Fremont (NE) Tribune
Editorial-Writing,1930,None,None
Editorial-Writing,1929,Louis Isaac Jaffe,Norfolk Virginian-Pilot
Editorial-Writing,1928,Grover Cleveland Hall,Montgomery (AL) Advertiser
Editorial-Writing,1927,F. Lauriston Bullard,Boston Herald
Editorial-Writing,1926,Edward M. Kingsbury,The New York Times
Editorial-Writing,1925,No author named,Charleston (SC) News and Courier
Editorial-Writing,1924,The Boston Herald,None
Editorial-Writing,1924,None,None
Editorial-Writing,1923,William Allen White,Emporia (KS) Gazette
Editorial-Writing,1922,Frank M. O'Brien,New York Herald
Editorial-Writing,1921,None,None
Editorial-Writing,1920,Harvey E. Newbranch,Evening World Herald
Editorial-Writing,1919,None,None
Editorial-Writing,1918,No author named,Louisville Courier Journal
Editorial-Writing,1917,No author named,New York Tribune
Explanatory-Journalism,1997,None,None
Explanatory-Journalism,1996,Laurie Garrett,Newsday
Explanatory-Journalism,1995,None,None
Explanatory-Journalism,1994,Ronald Kotulak,Chicago Tribune
Explanatory-Journalism,1993,Mike Toner,The Atlanta Journal-Constitution
Explanatory-Journalism,1992,Robert S. Capers and Eric Lipton,Hartford (CT) Courant
Explanatory-Journalism,1991,Susan C. Faludi,The Wall Street Journal
Explanatory-Journalism,1990,David A. Vise and Steve Coll,The Washington Post
Explanatory-Journalism,1989,None,None
Explanatory-Journalism,1988,Daniel Hertzberg and James B. Stewart,The Wall Street Journal
Explanatory-Journalism,1987,Jeff Lyon and Peter Gorner,Chicago Tribune
Explanatory-Journalism,1986,Staff,The New York Times
Explanatory-Journalism,1985,Jon Franklin,The Baltimore Evening Sun
Explanatory-Reporting,2015,None,None
Explanatory-Reporting,2014,Eli Saslow,The Washington Post
Explanatory-Reporting,2013,Staff,The New York Times
Explanatory-Reporting,2012,David Kocieniewski,The New York Times
Explanatory-Reporting,2011,"Mark Johnson, Kathleen Gallagher, Gary Porter, Lou Saldivar and Alison Sherwood",Milwaukee Journal Sentinel
Explanatory-Reporting,2010,None,None
Explanatory-Reporting,2009,Bettina Boxall and Julie Cart,Los Angeles Times
Explanatory-Reporting,2008,Amy Harmon,The New York Times
Explanatory-Reporting,2007,None,None
Explanatory-Reporting,2006,David Finkel,The Washington Post
Explanatory-Reporting,2005,Gareth Cook,The Boston Globe
Explanatory-Reporting,2004,Kevin Helliker and Thomas M. Burton,The Wall Street Journal
Explanatory-Reporting,2003,Staff,The Wall Street Journal
Explanatory-Reporting,2002,Staff,The New York Times
Explanatory-Reporting,2001,Staff,Chicago Tribune
Explanatory-Reporting,2000,Eric Newhouse,Great Falls (Mont.) Tribune
Explanatory-Reporting,1999,Richard Read,The Oregonian
Explanatory-Reporting,1998,Paul F. Salopek,Chicago Tribune
Feature-Photography,2015,Daniel Berehulak,"freelance photographer, The New York Times"
Feature-Photography,2014,Josh Haner,The New York Times
Feature-Photography,2013,Javier Manzano,free-lance photographer
Feature-Photography,2012,Craig F. Walker,The Denver Post
Feature-Photography,2011,Barbara Davidson,Los Angeles Times
Feature-Photography,2010,Craig F. Walker,The Denver Post
Feature-Photography,2009,Damon Winter,The New York Times
Feature-Photography,2008,Preston Gannaway,Concord (NH) Monitor
Feature-Photography,2007,Ren_e C. Byer,The Sacramento Bee
Feature-Photography,2006,Todd Heisler,Rocky Mountain News
Feature-Photography,2005,Deanne Fitzmaurice,San Francisco Chronicle
Feature-Photography,2004,Carolyn Cole,Los Angeles Times
Feature-Photography,2003,Don Bartletti,Los Angeles Times
Feature-Photography,2002,Staff,The New York Times
Feature-Photography,2001,Matt Rainey,The Star-Ledger
Feature-Photography,2000,"Carol Guzy, Michael Williamson and Lucian Perkins",The Washington Post
Feature-Photography,1999,Photo Staff,Associated Press
Feature-Photography,1998,Clarence Williams,Los Angeles Times
Feature-Photography,1997,Alexander Zemlianichenko,Associated Press
Feature-Photography,1996,Stephanie Welsh,a freelancer
Feature-Photography,1995,Staff,Associated Press
Feature-Photography,1994,Kevin Carter,a free-lance photographer
Feature-Photography,1993,Staff,Associated Press
Feature-Photography,1992,John Kaplan,Block Newspapers
Feature-Photography,1991,William Snyder,The Dallas Morning News
Feature-Photography,1990,David C. Turnley,Detroit Free Press
Feature-Photography,1989,Manny Crisostomo,Detroit Free Press
Feature-Photography,1988,Michel du Cille,The Miami Herald
Feature-Photography,1987,David Peterson,Des Moines Register
Feature-Photography,1986,Tom Gralish,The Philadelphia Inquirer
Feature-Photography,1985,Larry C. Price,The Philadelphia Inquirer
Feature-Photography,1985,Stan Grossfeld,The Boston Globe
Feature-Photography,1984,Anthony Suau,The Denver Post
Feature-Photography,1983,James B. Dickman,Dallas Times Herald
Feature-Photography,1982,John H. White,Chicago Sun-Times
Feature-Photography,1981,Taro M. Yamasaki,Detroit Free Press
Feature-Photography,1980,Erwin H. Hagler,Dallas Times Herald
Feature-Photography,1979,Staff Photographers,Boston Herald American
Feature-Photography,1978,J. Ross Baughman,Associated Press
Feature-Photography,1977,Robin Hood,Chattanooga News-Free Press
Feature-Photography,1976,Photographic Staff,Louisville Courier-Journal and Times
Feature-Photography,1975,Matthew Lewis,The Washington Post
Feature-Photography,1974,Slava Veder,Associated Press
Feature-Photography,1973,Brian Lanker,Topeka Capital-Journal
Feature-Photography,1972,Dave Kennerly,United Press International
Feature-Photography,1971,Jack Dykinga,Chicago Sun-Times
Feature-Photography,1970,Dallas Kinney,Palm Beach Post
Feature-Photography,1969,Moneta Sleet Jr.,Ebony Magazine
Feature-Photography,1968,Toshio Sakai,United Press Internationalcategory
Feature-Writing,2015,Diana Marcum,Los Angeles Times
Feature-Writing,2014,No award,No award
Feature-Writing,2013,John Branch,The New York Times
Feature-Writing,2012,Eli Sanders,The Stranger
Feature-Writing,2011,Amy Ellis Nutt,The Star-Ledger
Feature-Writing,2010,Gene Weingarten,The Washington Post
Feature-Writing,2009,Lane DeGregory,St. Petersburg Times
Feature-Writing,2008,Gene Weingarten,The Washington Post
Feature-Writing,2007,Andrea Elliott,The New York Times
Feature-Writing,2006,Jim Sheeler,Rocky Mountain News
Feature-Writing,2005,Julia Keller,Chicago Tribune
Feature-Writing,2004,No award,No award
Feature-Writing,2003,Sonia Nazario,Los Angeles Times
Feature-Writing,2002,Barry Siegel,Los Angeles Times
Feature-Writing,2001,Tom Hallman Jr.,The Oregonian
Feature-Writing,2000,J.R. Moehringer,Los Angeles Times
Feature-Writing,1999,Angelo B. Henderson,The Wall Street Journal
Feature-Writing,1998,Thomas French,St. Petersburg Times
Feature-Writing,1997,Lisa Pollak,The Baltimore Sun
Feature-Writing,1996,Rick Bragg,The New York Times
Feature-Writing,1995,Ron Suskind,The Wall Street Journal
Feature-Writing,1994,Isabel Wilkerson,The New York Times
Feature-Writing,1993,George Lardner Jr.,The Washington Post
Feature-Writing,1992,Howell Raines,The New York Times
Feature-Writing,1991,Sheryl James,St. Petersburg (FL) Times
Feature-Writing,1990,Dave Curtin,Colorado Springs Gazette Telegraph
Feature-Writing,1989,David Zucchino,The Philadelphia Inquirer
Feature-Writing,1988,Jacqui Banaszynski,St. Paul Pioneer Press Dispatch
Feature-Writing,1987,Steve Twomey,The Philadelphia Inquirer
Feature-Writing,1986,John Camp,St. Paul Pioneer Press and Dispatch
Feature-Writing,1985,Alice Steinbach,The Baltimore Sun
Feature-Writing,1984,Peter Mark Rinearson,The Seattle Times
Feature-Writing,1983,Nan Robertson,The New York Times
Feature-Writing,1982,Saul Pett,Associated Press
Feature-Writing,1981,Teresa Carpenter,The Village Voice
Feature-Writing,1980,Madeleine Blais,The Miami Herald
Feature-Writing,1979,Jon D. Franklin,Baltimore Evening Suncategory
General-News-Reporting,1990,Staff,San Jose (CA) Mercury News
General-News-Reporting,1989,Staff,Louisville Courier-Journal
General-News-Reporting,1988,Staff,Lawrence (MA) Eagle-Tribune
